County,Year,Tax_type,Amount
Westmeath,2021,Capital Gains Tax,18.32
Westmeath,2021,Income Taxes,1224.48
Westmeath,2021,Total,1409.28
Wexford,2021,VAT,156.02
Wexford,2021,Corporation Tax,98.71
Wexford,2021,Capital Gains Tax,16.04
Wexford,2021,Income Taxes,268.45
Wexford,2021,Total,539.22
Wicklow,2021,VAT,174.16
Wicklow,2021,Corporation Tax,99.98
Wicklow,2021,Capital Gains Tax,43.21
Wicklow,2021,Income Taxes,319.7
Wicklow,2021,Total,637.05
Other / Foreign,2021,VAT,1034.69
Other / Foreign,2021,Corporation Tax,98.48
Other / Foreign,2021,Capital Gains Tax,68.61
Other / Foreign,2021,Income Taxes,393.88
Other / Foreign,2021,Total,1595.66
Carlow,2020,VAT,61.11
Carlow,2020,Corporation Tax,25.79
Carlow,2020,Capital Gains Tax,7.37
Carlow,2020,Income Taxes,119.62
Carlow,2020,Total,213.89000000000001
Cavan,2020,VAT,70.33
Cavan,2020,Corporation Tax,45.5
Cavan,2020,Capital Gains Tax,2.38
Cavan,2020,Income Taxes,146.37
Cavan,2020,Total,264.58
Clare,2020,VAT,100.51
Clare,2020,Corporation Tax,111.87
Clare,2020,Capital Gains Tax,7.99
Clare,2020,Income Taxes,325.53999999999996
Clare,2020,Total,545.91
Cork,2020,VAT,954.02
Cork,2020,Corporation Tax,2760.98
Cork,2020,Capital Gains Tax,107.74
Cork,2020,Income Taxes,1967.24
Cork,2020,Total,5789.98
Donegal,2020,VAT,95.66
Donegal,2020,Corporation Tax,50.71
Donegal,2020,Capital Gains Tax,12.39
Donegal,2020,Income Taxes,184.99
Donegal,2020,Total,343.75
Dublin,2020,VAT,6377.62
Dublin,2020,Corporation Tax,7328.01
Dublin,2020,Capital Gains Tax,484.07
Dublin,2020,Income Taxes,11119.39
Dublin,2020,Total,25309.09
Galway,2020,VAT,248.26
Galway,2020,Corporation Tax,227.84
Galway,2020,Capital Gains Tax,35.71
Galway,2020,Income Taxes,864.28
Galway,2020,Total,1376.09
Kerry,2020,VAT,102.5
Kerry,2020,Corporation Tax,32.84
Kerry,2020,Capital Gains Tax,31.25
Kerry,2020,Income Taxes,631.3000000000001
Kerry,2020,Total,797.8900000000001
Kildare,2020,VAT,330.08
Kildare,2020,Corporation Tax,203.83
Kildare,2020,Capital Gains Tax,37.69
Kildare,2020,Income Taxes,782.75
Kildare,2020,Total,1354.35
Kilkenny,2020,VAT,82.96
Kilkenny,2020,Corporation Tax,36.15
Kilkenny,2020,Capital Gains Tax,6.19
Kilkenny,2020,Income Taxes,310.46000000000004
Kilkenny,2020,Total,435.76000000000005
Laois,2020,VAT,63.27
Laois,2020,Corporation Tax,16.15
Laois,2020,Capital Gains Tax,8.39
Laois,2020,Income Taxes,78.61
Laois,2020,Total,166.42000000000002
Leitrim,2020,VAT,14.22
Leitrim,2020,Corporation Tax,8.44
